"";"param1_value";"param2_value";"final_prevalenceA";"final_prevalenceC";"final_prevalenceH";"total_spillovers";"final_hunters";"final_animals";"final_Ianimals";"param1_name";"param2_name"
"Sh...1";0;0;0,000642766701711425;0;0,988717214873274;1,12827851267284;98,8717214873272;1101,34846277238;0,708365432563844;"h";"lambda_base"
"Sh...2";0,0128205128205128;0;0,00045698453623465;0,00108175289959888;0,988587700373847;1,14122996261526;98,8587700373847;1080,86245045877;0,494163250620255;"h";"lambda_base"
"Sh...3";0,0256410256410256;0;0,000325046688356024;0,00206421723145968;0,988454331040606;1,1545668959394;98,8454331040606;1060,24237881462;0,344740330791274;"h";"lambda_base"
"Sh...4";0,0384615384615385;0;0,000231301581708855;0,0029645016014895;0,988316724035324;1,16832759646769;98,8316724035323;1039,51082839019;0,240496125944458;"h";"lambda_base"
"Sh...5";0,0512820512820513;0;0,00016466980120143;0,00379618021736915;0,988174982529582;1,18250174704146;98,8174982529585;1018,69014108655;0,167775130515968;"h";"lambda_base"
"Sh...6";0,0641025641025641;0;0,000117286804365959;0,00457012765209431;0,988029366993405;1,19706330065969;98,8029366993403;997,792477078693;0,117041618494366;"h";"lambda_base"
"Sh...7";0,0769230769230769;0;8,35784886682921e-05;0,00529523968530011;0,987879594898734;1,21204051012674;98,7879594898733;976,839965309151;0,081649632124179;"h";"lambda_base"
"Sh...8";0,0897435897435897;0;5,95907228931607e-05;0,00597861158641168;0,987726327524597;1,22736724754037;98,7726327524596;955,820688860209;0,056961440178816;"h";"lambda_base"
"Sh...9";0,102564102564103;0;4,25084787759766e-05;0,00662619201377668;0,987569625542276;1,2430374457725;98,7569625542275;934,768470191972;0,039737274846712;"h";"lambda_base"
"Sh...10";0,115384615384615;0;3,03398199083982e-05;0,00724277228906841;0,987409752426471;1,25902475735271;98,7409752426473;913,679970264099;0,0277217268239227;"h";"lambda_base"
"Sh...11";0,128205128205128;0;2,16666570773463e-05;0,0078324645659792;0,987247103111285;1,27528968887114;98,7247103111289;892,559582699776;0,0193392014153006;"h";"lambda_base"
"Sh...12";0,141025641025641;0;1,54817354740388e-05;0,00839864901249583;0,987081569709664;1,29184302903376;98,7081569709662;871,417565416389;0,013491265103405;"h";"lambda_base"
"Sh...13";0,153846153846154;0;1,10692838880411e-05;0,00894415867755807;0,986913681527597;1,30863184724038;98,6913681527596;850,262964552625;0,00941190631718338;"h";"lambda_base"
"Sh...14";0,166666666666667;0;7,91936379109277e-06;0,00947146526984116;0,986743495271861;1,32565047281408;98,6743495271859;829,086110854437;0,00656588652364255;"h";"lambda_base"
"Sh...15";0,179487179487179;0;5,66962214541285e-06;0,00998260240744725;0,986571174462393;1,34288255376059;98,6571174462394;807,914732102037;0,00458059722698648;"h";"lambda_base"
"Sh...16";0,192307692307692;0;4,06166171335019e-06;0,0104793451143054;0,986396978482007;1,36030215179966;98,6396978482003;786,73264421583;0,00319545483851077;"h";"lambda_base"
"Sh...17";0,205128205128205;0;2,91187312343855e-06;0,0109632362426294;0,986221024432376;1,37789755676243;98,6221024432376;765,5644519514;0,00222923304314103;"h";"lambda_base"
"Sh...18";0,217948717948718;0;2,08912732132222e-06;0,0114356176712281;0,98604338346802;1,39566165319837;98,6043383468016;744,397988570545;0,00155514542475683;"h";"lambda_base"
"Sh...19";0,230769230769231;0;1,50002981945561e-06;0,0118976478935479;0,985864135200847;1,41358647991528;98,5864135200847;723,255110368741;0,00108490586001791;"h";"lambda_base"
"Sh...20";0,243589743589744;0;1,07794984462447e-06;0,0123503569775995;0,985683383476866;1,43166165231347;98,5683383476865;702,135357231907;0,000756867515098704;"h";"lambda_base"
"Sh...21";0,256410256410256;0;7,75288675385453e-07;0,0127946108726642;0,985501384981968;1,44986150180327;98,5501384981967;681,024607420257;0,000527991075137251;"h";"lambda_base"
"Sh...22";0,269230769230769;0;5,58138305045656e-07;0,013231140255319;0,985318158375417;1,46818416245847;98,5318158375415;659,957191795834;0,000368347594020519;"h";"lambda_base"
"Sh...23";0,282051282051282;0;4,02182249263389e-07;0,013660801358331;0,98513361959341;1,486638040659;98,513361959341;638,921047661121;0,00025696280739595;"h";"lambda_base"
"Sh...24";0,294871794871795;0;2,90104787167426e-07;0,0140840766314044;0,98494809962089;1,50519003791088;98,4948099620891;617,92674632238;0,000179263559232131;"h";"lambda_base"
"Sh...25";0,307692307692308;0;2,09486080527623e-07;0,0145015984908553;0,984761229312157;1,52387706878424;98,4761229312158;596,974197678736;0,000125057811045712;"h";"lambda_base"
"Sh...26";0,32051282051282;0;1,51438605079004e-07;0,0149138320161208;0,984573564797106;1,54264352028936;98,4573564797106;576,081396089214;8,72409762473672e-05;"h";"lambda_base"
"Sh...27";0,333333333333333;0;1,09615403740797e-07;0,0153212134650277;0,984384836614808;1,56151633851904;98,438483661481;555,224679639661;6,08611840968797e-05;"h";"lambda_base"
"Sh...28";0,346153846153846;0;7,94431234848769e-08;0,0157241479313494;0,984195294695009;1,58047053049924;98,4195294695008;534,450897469127;4,24584520172752e-05;"h";"lambda_base"
"Sh...29";0,358974358974359;0;5,76574754664348e-08;0,0161230053679844;0,984004704021796;1,59952959782063;98,4004704021794;513,723070042267;2,96199770153166e-05;"h";"lambda_base"
"Sh...30";0,371794871794872;0;4,19074554527879e-08;0,0165181188116813;0,983813235486493;1,61867645135075;98,3813235486492;493,077702532923;2,06636327196218e-05;"h";"lambda_base"
"Sh...31";0,384615384615385;0;3,050811323042e-08;0,0169097270126198;0,983621165152184;1,63788348478167;98,3621165152183;472,508419568152;1,44153408062968e-05;"h";"lambda_base"
"Sh...32";0,397435897435897;0;2,2248575353497e-08;0,0172982068536026;0,98342835455504;1,65716454449615;98,3428354555038;452,012164922338;1,00566269357176e-05;"h";"lambda_base"
"Sh...33";0,41025641025641;0;1,62543740907843e-08;0,0176836707858352;0,983234603685035;1,67653963149635;98,3234603685036;431,611873250647;7,01558096387407e-06;"h";"lambda_base"
"Sh...34";0,423076923076923;0;1,1899416175512e-08;0,0180665416111032;0,983040107507859;1,69598924921402;98,304010750786;411,298800452572;4,89421565731234e-06;"h";"lambda_base"
"Sh...35";0,435897435897436;0;8,7299912978577e-09;0,0184468307476793;0,982844850453504;1,71551495464963;98,2844850453504;391,092113317966;3,41423077573282e-06;"h";"lambda_base"
"Sh...36";0,448717948717949;0;6,4202026833575e-09;0,0188247148616307;0,982649138189111;1,73508618108897;98,264913818911;370,995709724452;2,38186766637912e-06;"h";"lambda_base"
"Sh...37";0,461538461538462;0;4,73398504926259e-09;0,0192005153008788;0,982452741567277;1,75472584327223;98,2452741567278;351,006552749241;1,66165978077438e-06;"h";"lambda_base"
"Sh...38";0,474358974358974;0;3,50036915451391e-09;0,0195744041557711;0,982255307828768;1,77446921712304;98,225530782877;331,15938747835;1,15918010921449e-06;"h";"lambda_base"
"Sh...39";0,487179487179487;0;2,59644081356121e-09;0,0199462774882968;0,982057777074125;1,79422229258743;98,2057777074126;311,450936375727;8,08663924727442e-07;"h";"lambda_base"
"Sh...40";0,5;0;1,93262301804921e-09;0,020316418475005;0,981859544361528;1,8140455638471;98,1859544361529;291,904612173753;5,64141573651996e-07;"h";"lambda_base"
"Sh...41";0;0,0153846153846154;0,00283878790552498;0;0,984147753013097;1,58522469869035;98,4147753013096;1098,24067307855;3,12654794658782;"h";"lambda_base"
"Sh...42";0,0128205128205128;0,0153846153846154;0,00202296224064792;0,00148910685916638;0,984280243584627;1,57197564153753;98,4280243584625;1078,6324567721;2,18645584921106;"h";"lambda_base"
"Sh...43";0,0256410256410256;0,0153846153846154;0,00144178516066301;0,00279092330629427;0,984378813252064;1,56211867479351;98,4378813252065;1058,63102389319;1,52852230163894;"h";"lambda_base"
"Sh...44";0,0384615384615385;0,0153846153846154;0,00102774843179278;0,00394383887949278;0,984445995638736;1,55540043612625;98,4445995638738;1038,34546476931;1,06825582132093;"h";"lambda_base"
"Sh...45";0,0512820512820513;0,0153846153846154;0,000732791701267912;0,00497724654358095;0,984484910291787;1,55150897082137;98,4484910291786;1017,84662228254;0,74641652580802;"h";"lambda_base"
"Sh...46";0,0641025641025641;0,0153846153846154;0,000522636896373507;0,00591400399451981;0,984498439441399;1,55015605585994;98,4498439441401;997,182875209303;0,521437085276103;"h";"lambda_base"
"Sh...47";0,0769230769230769;0,0153846153846154;0,0003728754956728;0,00677186914881739;0,984489325786389;1,55106742136128;98,4489325786387;976,391789345183;0,364208376801965;"h";"lambda_base"
"Sh...48";0,0897435897435897;0,0153846153846154;0,000266131235024633;0,00756481402719261;0,98445995333694;1,55400466630616;98,4459953336938;955,499396496827;0,25435592651185;"h";"lambda_base"
"Sh...49";0,102564102564103;0,0153846153846154;0,000190020696748227;0,0083038532209961;0,984412860399135;1,55871396008658;98,4412860399134;934,531911608387;0,177614155342829;"h";"lambda_base"
"Sh...50";0,115384615384615;0,0153846153846154;0,000135737039130689;0,00899783301903351;0,98434990247102;1,56500975289779;98,4349902471022;913,506340746099;0,124013479142457;"h";"lambda_base"
"Sh...51";0,128205128205128;0,0153846153846154;9,70083978389007e-05;0,00965381092579;0,984272819930659;1,57271800693434;98,4272819930657;892,432629351352;0,0865818587199284;"h";"lambda_base"
"Sh...52";0,141025641025641;0,0153846153846154;6,93635011642706e-05;0,0102775255416178;0,984183302640058;1,58166973599428;98,4183302640057;871,324864615477;0,0604423357532399;"h";"lambda_base"
"Sh...53";0,153846153846154;0,0153846153846154;4,96260172273077e-05;0,0108736065504059;0,98408253481515;1,59174651848495;98,408253481515;850,186757692756;0,0421934765778851;"h";"lambda_base"
"Sh...54";0,166666666666667;0,0153846153846154;3,55246672809365e-05;0,0114459063439092;0,983972257101084;1,60277428989143;98,3972257101086;829,030130908142;0,0294520658412227;"h";"lambda_base"
"Sh...55";0,179487179487179;0,0153846153846154;2,54456000552965e-05;0,0119976263708153;0,983853073512007;1,61469264879946;98,3853073512005;807,869085485991;0,0205572367375389;"h";"lambda_base"
"Sh...56";0,192307692307692;0,0153846153846154;1,82379884857463e-05;0,0125314654484609;0,983725853530524;1,6274146469476;98,3725853530524;786,701381267105;0,0143481124139792;"h";"lambda_base"
"Sh...57";0,205128205128205;0,0153846153846154;1,30808653386636e-05;0,0130494808326509;0,983591734342655;1,64082656573454;98,3591734342655;765,535995490694;0,0100140042607548;"h";"lambda_base"
"Sh...58";0,217948717948718;0,0153846153846154;9,38872027174e-06;0,0135537707524328;0,983451134753657;1,65488652463462;98,3451134753654;744,385180675899;0,00698888985252649;"h";"lambda_base"
"Sh...59";0,230769230769231;0,0153846153846154;6,74382231019133e-06;0,0140458706553219;0,98330473903498;1,66952609650241;98,3304739034976;723,239590326867;0,0048774321773959;"h";"lambda_base"
"Sh...60";0,243589743589744;0,0153846153846154;4,84790955547544e-06;0,0145270978574211;0,983153206415049;1,68467935849526;98,3153206415047;702,117317512861;0,00340381775403599;"h";"lambda_base"
"Sh...61";0,256410256410256;0,0153846153846154;3,48788399998804e-06;0,0149986582744874;0,982996818813298;1,70031811867037;98,2996818813296;681,019491906945;0,00237532527436124;"h";"lambda_base"
"Sh...62";0,269230769230769;0,0153846153846154;2,51169633478669e-06;0,0154616190699069;0,982836060459187;1,7163939540814;98,2836060459186;659,947649606393;0,00165759225603586;"h";"lambda_base"
"Sh...63";0,282051282051282;0,0153846153846154;1,8104134766773e-06;0,0159168204890528;0,982671445232902;1,73285547671004;98,26714452329;638,915104360479;0,00115670260949689;"h";"lambda_base"
"Sh...64";0,294871794871795;0,0153846153846154;1,30623311573924e-06;0,0163650697906948;0,982503156315368;1,74968436846363;98,2503156315364;617,918000726827;0,00080714600968161;"h";"lambda_base"
"Sh...65";0,307692307692308;0,0153846153846154;9,43475608023688e-07;0,0168070609098301;0,982331418066101;1,76685819338985;98,2331418066101;596,967362090579;0,00056322467630745;"h";"lambda_base"
"Sh...66";0,32051282051282;0,0153846153846154;6,82229624306725e-07;0,0172433691977459;0,982156509494358;1,78434905056451;98,2156509494355;576,069276986483;0,000393011794537424;"h";"lambda_base"
"Sh...67";0,333333333333333;0,0153846153846154;4,93920053136243e-07;0,0176745326276455;0,981978949350266;1,80210506497325;98,1978949350268;555,222800141035;0,00027423581039868;"h";"lambda_base"
"Sh...68";0,346153846153846;0,0153846153846154;3,58044662144068e-07;0,0181009856211823;0,981798605289578;1,82013947104235;98,1798605289576;534,4385975704;0,000191352955616748;"h";"lambda_base"
"Sh...69";0,358974358974359;0,0153846153846154;2,59904517860178e-07;0,0185233280442975;0,98161571580226;1,83842841977433;98,1615715802257;513,723332254067;0,000133519049685222;"h";"lambda_base"
"Sh...70";0,371794871794872;0,0153846153846154;1,8894361058725e-07;0,0189417175240425;0,981430686007577;1,85693139924238;98,1430686007576;493,072175015747;9,31628546301098e-05;"h";"lambda_base"
"Sh...71";0,384615384615385;0,0153846153846154;1,37573654487914e-07;0,0193566130583589;0,981243182247739;1,87568177522604;98,124318224774;472,50048826516;6,50036278607485e-05;"h";"lambda_base"
"Sh...72";0,397435897435897;0,0153846153846154;1,00341247555529e-07;0,0197683425728059;0,981053672075541;1,8946327924458;98,1053672075542;452,006872201727;4,53549380113651e-05;"h";"lambda_base"
"Sh...73";0,41025641025641;0,0153846153846154;7,33228421456273e-08;0,020177045030852;0,980862359037025;1,91376409629764;98,0862359037024;431,599974913751;3,16461391510425e-05;"h";"lambda_base"
